position,checkpoint,shadowImprovementPctVsWorker,shadowBlockWinPctVsWorker,shadowRecent4ImprovementPctVsWorker,v19SelectionPct,shadowRecommendation
QB,4,0.0,100.0,0.0,0.0,keep-champion
QB,8,0.0,100.0,0.0,0.0,keep-champion
QB,12,0.0,100.0,0.0,0.0,keep-champion
RB,4,1.202598990108,91.66666666666666,3.585883442523516,25.0,shadow-candidate
RB,8,0.0,100.0,0.0,0.0,keep-champion
RB,12,0.0,100.0,0.0,0.0,keep-champion
TE,4,-0.800143872240449,91.66666666666666,-2.6068791917930816,8.333333333333334,keep-champion
TE,8,1.2828725773066152,100.0,3.756100607039112,33.333333333333336,shadow-candidate
TE,12,0.0,100.0,0.0,0.0,keep-champion
WR,4,6.995454807325921,100.0,11.525174955486532,58.333333333333336,shadow-candidate
WR,8,4.29916115242644,100.0,6.541113967161471,66.66666666666667,shadow-candidate
WR,12,0.0,100.0,0.0,0.0,keep-champion
