position,checkpoint,rows,workerFullAvailabilityMae,workerCurrentAvailabilityProxyMae,v19RateGateFullAvailabilityMae,v19SelectedAvailabilityMae,v19RateGateImprovementPctVsWorkerFullAvailability,v19StackImprovementPctVsWorkerCurrentAvailabilityProxy,v19StackImprovementPctVsWorkerFullAvailability,workerCurrentAvailabilityProxyGamesMae,v19SelectedAvailabilityGamesMae,v19GamesImprovementPctVsWorkerCurrentAvailabilityProxy,seasonBlocks,stackBlockWinPctVsWorkerProxy,stackRecent4ImprovementPctVsWorkerProxy
QB,4,425,815.9146309155088,745.9322436067393,852.9563443066895,746.9901475684837,-4.5399006204383765,-0.1418230637985561,8.447511631172418,2.599019607843137,2.5351658751253714,2.4568392067944487,12,50.0,11.110905726348319
WR,4,1422,205.19065544842925,192.22372309967483,202.3977426781742,177.37826220136128,1.3611305856747402,7.723011842100076,13.554415129814764,2.444503047351149,2.384088998904997,2.471424550344336,12,83.33333333333334,11.51192780432663
TE,4,634,148.75322481096407,138.97861274846701,153.4556019454471,137.17268012811496,-3.1611934063673814,1.2994320382378208,7.785071347236801,2.5849106203995795,2.370933773923513,8.27792051250847,12,50.0,-1.9888276342477884
RB,4,880,289.3149973394939,267.2899045426081,279.2968005275245,247.3443265474311,3.462729863330813,7.462151639923801,14.506911559379937,2.5970643939393936,2.5540735072937473,1.655364678133182,12,58.333333333333336,7.742828589202269
QB,8,512,690.8325982681439,568.7614915450282,709.1683383564258,569.4384455997241,-2.6541509671442816,-0.11902248389864914,17.57215177348958,2.0127650669642856,2.0530537571806957,-2.001658856151293,12,50.0,10.078305211711454
WR,8,1765,146.24419812781784,130.6008603789136,144.0496580628357,124.50562546302295,1.5005997455462137,4.667071027102341,14.864571000481888,1.8903986240388508,1.943262853566237,-2.796459373972745,12,91.66666666666666,6.54322880314379
TE,8,872,101.58448686374264,86.54387596133006,100.58942636813975,84.71852703177139,0.9795398158949019,2.109160133264984,16.602889233071494,1.8879628112712976,1.9405174974087505,-2.783671681650556,12,91.66666666666666,3.8549101337429894
RB,8,1129,199.80832900492794,169.01803389011855,195.11404825262306,169.03158038316369,2.349391927595321,-0.008014821101248494,15.403135982887479,1.8730387194736176,1.9789563392998994,-5.654854794248356,12,66.66666666666666,4.203917584814186
QB,12,581,467.8498703406219,356.841386243203,478.2038176826042,364.9488415553268,-2.213091848127267,-2.272005329168359,21.99445491143926,1.2719840400563291,1.3579511610058668,-6.758506258123381,12,50.0,3.062319714737254
WR,12,1940,91.72263624527115,77.89579848573428,91.31318968402731,77.85490662486346,0.4463964164189069,0.052495592401307425,15.119200873516814,1.2150499843798814,1.266056411842701,-4.197887174892755,12,50.0,2.541532638055422
TE,12,989,64.39801562166632,54.74155976778127,64.71292443587683,55.61316047060336,-0.48900390977973285,-1.5922102083307514,13.64149976712535,1.2817737537151086,1.3651737806214197,-6.50661059836679,12,33.33333333333333,1.9345897644793038
RB,12,1274,125.43254870257076,102.8340000855649,122.00463850208747,103.40156772898878,2.732871360695732,-0.5519260584550151,17.56400647317027,1.233058608058608,1.3170604726015478,-6.812479471287812,12,58.333333333333336,1.5395484486465911
