position,checkpoint,outerSeasons,meanSelectedHistoryWeight,medianSelectedHistoryWeight,modeSelectedHistoryWeight,weight0Pct,weight25Pct,weight50Pct,weight75Pct,weight100Pct,shrinkageImprovementPctVsPace,shrinkageImprovementPctVsFullHistory,historyRecommendation
QB,4,12,0.8958333333333334,1.0,1.0,8.333333333333334,0.0,0.0,8.333333333333334,83.33333333333333,14.880034803026964,-0.8433586152114371,strong-history
QB,8,12,0.625,0.75,0.75,8.333333333333334,0.0,25.0,66.66666666666667,0.0,5.428219020366017,-0.72044373747462,blended-history
QB,12,12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.842820350942224,current-season-dominant
RB,4,12,0.6875,0.75,0.75,8.333333333333334,0.0,8.333333333333334,75.0,8.333333333333334,6.534085299840174,-0.8131162499129528,blended-history
RB,8,12,0.25,0.25,0.25,8.333333333333334,83.33333333333333,8.333333333333334,0.0,0.0,0.45694738317024763,2.8276738606157026,light-history
RB,12,12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.810973524676824,current-season-dominant
TE,4,12,0.9166666666666666,1.0,1.0,8.333333333333334,0.0,0.0,0.0,91.66666666666667,8.936140677685966,-1.7845569015790295,strong-history
TE,8,12,0.7083333333333334,0.75,0.75,8.333333333333334,0.0,0.0,83.33333333333333,8.333333333333334,6.176806329056137,-0.1359971626685112,strong-history
TE,12,12,0.3333333333333333,0.25,0.25,8.333333333333334,50.0,41.666666666666664,0.0,0.0,0.23053852956598636,0.8204150506785473,light-history
WR,4,12,0.875,1.0,1.0,8.333333333333334,0.0,0.0,16.666666666666668,75.0,10.625510557270696,-0.5031245079438825,strong-history
WR,8,12,0.625,0.75,0.75,8.333333333333334,0.0,25.0,66.66666666666667,0.0,3.2830824168807116,-0.5797489446577494,blended-history
WR,12,12,0.14583333333333334,0.25,0.25,41.666666666666664,58.333333333333336,0.0,0.0,0.0,0.3028469681494765,1.437313883966164,light-history
