position,checkpoint,nestedImprovementPctVsPace,nestedImprovementPctVsProduction,historyRecommendation
QB,4,14.799824042550576,-0.9383859388810541,light-history
QB,8,6.104681958974461,0.0,validated-history
QB,12,0.0,3.842820350942224,current-season-dominant
RB,4,7.197883182732255,-0.09713830919387408,validated-history
RB,8,-0.3832509896816583,2.007485729327253,current-season-dominant
RB,12,0.0,3.810973524676824,current-season-dominant
TE,4,9.878855179763603,-0.7308592152219919,light-history
TE,8,5.790363008692592,-0.548441950757624,light-history
TE,12,-0.30612005625589084,0.28692940269720957,current-season-dominant
WR,4,10.982062630776694,-0.1021756727608674,validated-history
WR,8,3.8405657222945706,0.0,validated-history
WR,12,0.0,1.1379130509917934,current-season-dominant
