position,checkpoint,v19RateGateImprovementPctVsWorkerFullAvailability,v19StackImprovementPctVsWorkerCurrentAvailabilityProxy,stackBlockWinPctVsWorkerProxy,stackRecent4ImprovementPctVsWorkerProxy,integrationRecommendation
QB,4,-4.5399006204383765,-0.1418230637985561,50.0,11.110905726348319,research-hold
WR,4,1.3611305856747402,7.723011842100076,83.33333333333334,11.51192780432663,integration-candidate
TE,4,-3.1611934063673814,1.2994320382378208,50.0,-1.9888276342477884,research-hold
RB,4,3.462729863330813,7.462151639923801,58.333333333333336,7.742828589202269,integration-candidate
QB,8,-2.6541509671442816,-0.11902248389864914,50.0,10.078305211711454,research-hold
WR,8,1.5005997455462137,4.667071027102341,91.66666666666666,6.54322880314379,integration-candidate
TE,8,0.9795398158949019,2.109160133264984,91.66666666666666,3.8549101337429894,integration-candidate
RB,8,2.349391927595321,-0.008014821101248494,66.66666666666666,4.203917584814186,research-hold
QB,12,-2.213091848127267,-2.272005329168359,50.0,3.062319714737254,research-hold
WR,12,0.4463964164189069,0.052495592401307425,50.0,2.541532638055422,research-hold
TE,12,-0.48900390977973285,-1.5922102083307514,33.33333333333333,1.9345897644793038,research-hold
RB,12,2.732871360695732,-0.5519260584550151,58.333333333333336,1.5395484486465911,research-hold
